Result,match_number,total_score,total_wickets_player_out,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,toss_decision,choose_to_bat,choose_to_field,forced_to_bat,forced_to_field,Result_num,avg_win_rate,avg_score,avg_wickets_out,last_match_result
loose,1.0,135,6,Manchester Originals,Oval Invincibles,female,2021,7,21,no,"Kennington Oval, London",London,Manchester Originals,Oval Invincibles,bat,yes,no,no,no,0,,,,
win,1.0,145,8,Oval Invincibles,Manchester Originals,male,2021,7,22,yes,"Kennington Oval, London",London,Manchester Originals,Oval Invincibles,bat,no,no,yes,no,1,,,,
loose,2.0,128,6,Birmingham Phoenix,London Spirit,female,2021,7,23,yes,"Edgbaston, Birmingham",Birmingham,London Spirit,London Spirit,bat,no,no,yes,no,0,,,,
loose,2.0,144,6,London Spirit,Birmingham Phoenix,male,2021,7,23,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no,0,,,,
win,3.0,133,5,Southern Brave,Trent Rockets,female,2021,7,24,no,"Trent Bridge, Nottingham",Nottingham,Trent Rockets,Southern Brave,bat,no,no,yes,no,1,,,,
loose,3.0,126,8,Southern Brave,Trent Rockets,male,2021,7,24,no,"Trent Bridge, Nottingham",Nottingham,Southern Brave,Trent Rockets,bat,yes,no,no,no,0,,,,
loose,4.0,130,8,Welsh Fire,Northern Superchargers,female,2021,7,24,no,"Headingley, Leeds",Leeds,Northern Superchargers,Northern Superchargers,bat,no,no,yes,no,0,,,,
win,4.0,173,4,Welsh Fire,Northern Superchargers,male,2021,7,24,no,"Headingley, Leeds",Leeds,Northern Superchargers,Welsh Fire,bat,no,no,yes,no,1,,,,
win,5.0,132,7,Oval Invincibles,London Spirit,female,2021,7,25,no,"Lord's, London",London,London Spirit,Oval Invincibles,bat,no,no,yes,no,1,1.0,135.0,6.0,win
win,6.0,113,9,Birmingham Phoenix,Manchester Originals,female,2021,7,25,no,"Old Trafford, Manchester",Manchester,Birmingham Phoenix,Birmingham Phoenix,bat,yes,no,no,no,1,0.0,128.0,6.0,loose
loose,6.0,87,10,Birmingham Phoenix,Manchester Originals,male,2021,7,25,no,"Old Trafford, Manchester",Manchester,Birmingham Phoenix,Manchester Originals,bat,yes,no,no,no,0,1.0,144.0,6.0,win
win,7.0,149,7,Northern Superchargers,Trent Rockets,female,2021,7,26,no,"Trent Bridge, Nottingham",Nottingham,Northern Superchargers,Northern Superchargers,bat,yes,no,no,no,1,1.0,130.0,8.0,win
loose,7.0,132,10,Northern Superchargers,Trent Rockets,male,2021,7,26,no,"Trent Bridge, Nottingham",Nottingham,Northern Superchargers,Trent Rockets,bat,yes,no,no,no,0,0.0,173.0,4.0,loose
loose,8.0,110,7,Welsh Fire,Southern Brave,female,2021,7,27,yes,"Sophia Gardens, Cardiff",Cardiff,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.0,130.0,8.0,loose
win,8.0,165,4,Welsh Fire,Southern Brave,male,2021,7,27,yes,"Sophia Gardens, Cardiff",Cardiff,Southern Brave,Welsh Fire,bat,no,no,yes,no,1,1.0,173.0,4.0,win
win,10.0,151,4,Trent Rockets,London Spirit,female,2021,7,29,no,"Lord's, London",London,Trent Rockets,Trent Rockets,bat,yes,no,no,no,1,0.0,141.0,6.0,loose
win,10.0,123,4,Trent Rockets,London Spirit,male,2021,7,29,no,"Lord's, London",London,London Spirit,Trent Rockets,bat,no,no,yes,no,1,1.0,129.0,9.0,win
loose,11.0,140,4,Birmingham Phoenix,Southern Brave,female,2021,7,30,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.5,120.5,7.5,win
loose,11.0,151,3,Birmingham Phoenix,Southern Brave,male,2021,7,30,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.5,115.5,8.0,loose
loose,12.0,120,6,Manchester Originals,Welsh Fire,female,2021,7,31,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Welsh Fire,bat,no,no,yes,no,0,0.0,124.0,7.5,loose
loose,12.0,150,6,Welsh Fire,Manchester Originals,male,2021,7,31,yes,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Manchester Originals,bat,yes,no,no,no,0,1.0,169.0,4.0,win
win,13.0,109,8,Northern Superchargers,Oval Invincibles,female,2021,7,31,yes,"Headingley, Leeds",Leeds,Oval Invincibles,Northern Superchargers,bat,no,no,yes,no,1,1.0,139.5,7.5,win
loose,13.0,127,6,Oval Invincibles,Northern Superchargers,male,2021,7,31,no,"Headingley, Leeds",Leeds,Oval Invincibles,Northern Superchargers,bat,yes,no,no,no,0,1.0,145.0,8.0,win
win,14.0,145,5,Trent Rockets,Birmingham Phoenix,female,2021,8,1,no,"Edgbaston, Birmingham",Birmingham,Trent Rockets,Trent Rockets,bat,yes,no,no,no,1,0.3333333333333333,144.33333333333334,5.333333333333333,win
loose,14.0,144,6,Trent Rockets,Birmingham Phoenix,male,2021,8,1,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no,0,1.0,127.0,7.333333333333333,win
loose,15.0,93,10,London Spirit,Southern Brave,female,2021,8,1,yes,"Lord's, London",London,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.3333333333333333,137.0,5.666666666666667,loose
win,15.0,145,6,Southern Brave,London Spirit,male,2021,8,1,no,"Lord's, London",London,London Spirit,Southern Brave,bat,no,no,yes,no,1,0.3333333333333333,147.33333333333334,5.0,win
win,16.0,112,6,Welsh Fire,Oval Invincibles,female,2021,8,2,no,"Kennington Oval, London",London,Oval Invincibles,Welsh Fire,bat,no,no,yes,no,1,0.3333333333333333,120.0,7.0,win
loose,16.0,121,7,Welsh Fire,Oval Invincibles,male,2021,8,2,no,"Kennington Oval, London",London,Oval Invincibles,Oval Invincibles,bat,no,no,yes,no,0,0.6666666666666666,162.66666666666666,4.666666666666667,loose
loose,17.0,126,5,Northern Superchargers,London Spirit,female,2021,8,3,no,"Lord's, London",London,Northern Superchargers,London Spirit,bat,yes,no,no,no,0,1.0,129.33333333333334,7.666666666666667,win
win,17.0,155,3,Northern Superchargers,London Spirit,male,2021,8,3,no,"Lord's, London",London,Northern Superchargers,Northern Superchargers,bat,yes,no,no,no,1,0.3333333333333333,144.0,6.666666666666667,win
loose,18.0,129,9,Birmingham Phoenix,Oval Invincibles,female,2021,8,4,yes,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Oval Invincibles,bat,yes,no,no,no,0,0.25,131.5,6.0,loose
loose,18.0,172,3,Oval Invincibles,Birmingham Phoenix,male,2021,8,4,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no,0,0.6666666666666666,131.0,7.0,win
loose,19.0,123,7,Southern Brave,Manchester Originals,female,2021,8,5,no,"Old Trafford, Manchester",Manchester,Manchester Originals,Manchester Originals,bat,no,no,yes,no,0,1.0,119.0,6.5,win
loose,20.0,102,10,Welsh Fire,Trent Rockets,female,2021,8,6,yes,"Sophia Gardens, Cardiff",Cardiff,Trent Rockets,Trent Rockets,bat,no,no,yes,no,0,0.5,118.0,6.75,win
loose,20.0,139,8,Welsh Fire,Trent Rockets,male,2021,8,6,yes,"Sophia Gardens, Cardiff",Cardiff,Trent Rockets,Trent Rockets,bat,no,no,yes,no,0,0.5,152.25,5.25,loose
loose,21.0,76,3,Northern Superchargers,Southern Brave,female,2021,8,7,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.75,128.5,7.0,loose
loose,21.0,128,6,Northern Superchargers,Southern Brave,male,2021,8,7,no,"The Rose Bowl, Southampton",Southampton,Northern Superchargers,Southern Brave,bat,yes,no,no,no,0,0.5,146.75,5.75,win
win,22.0,125,6,Oval Invincibles,Trent Rockets,male,2021,8,8,yes,"Kennington Oval, London",London,Trent Rockets,Oval Invincibles,bat,no,no,yes,no,1,0.5,141.25,6.0,loose
win,23.0,184,5,Birmingham Phoenix,Welsh Fire,male,2021,8,9,yes,"Edgbaston, Birmingham",Birmingham,Welsh Fire,Birmingham Phoenix,bat,no,no,yes,no,1,0.6,139.6,5.6,win
loose,23.0,127,9,Welsh Fire,Birmingham Phoenix,female,2021,8,9,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no,0,0.4,114.8,7.4,loose
win,24.0,142,6,London Spirit,Manchester Originals,male,2021,8,10,no,"Old Trafford, Manchester",Manchester,London Spirit,London Spirit,bat,yes,no,no,no,1,0.0,141.75,4.75,loose
loose,24.0,127,5,Manchester Originals,London Spirit,female,2021,8,10,yes,"Old Trafford, Manchester",Manchester,Manchester Originals,London Spirit,bat,yes,no,no,no,0,0.25,122.75,7.0,win
win,25.0,166,3,Southern Brave,Welsh Fire,female,2021,8,11,yes,"The Rose Bowl, Southampton",Southampton,Welsh Fire,Southern Brave,bat,no,no,yes,no,1,0.8333333333333334,112.5,6.0,win
loose,25.0,144,5,Welsh Fire,Southern Brave,male,2021,8,11,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.3333333333333333,155.33333333333334,5.666666666666667,loose
loose,26.0,126,5,Northern Superchargers,Manchester Originals,female,2021,8,12,yes,"Headingley, Leeds",Leeds,Manchester Originals,Manchester Originals,bat,no,no,yes,no,0,0.6,118.0,6.2,loose
win,26.0,200,5,Northern Superchargers,Manchester Originals,male,2021,8,12,yes,"Headingley, Leeds",Leeds,Manchester Originals,Northern Superchargers,bat,no,no,yes,no,1,0.4,143.0,5.8,loose
win,27.0,166,6,Birmingham Phoenix,Trent Rockets,male,2021,8,13,no,"Trent Bridge, Nottingham",Nottingham,Trent Rockets,Birmingham Phoenix,bat,no,no,yes,no,1,0.6666666666666666,147.0,5.5,win
loose,27.0,125,7,Trent Rockets,Birmingham Phoenix,female,2021,8,13,yes,"Trent Bridge, Nottingham",Nottingham,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no,0,0.6,136.0,6.2,win
loose,28.0,103,9,London Spirit,Oval Invincibles,female,2021,8,14,no,"Kennington Oval, London",London,Oval Invincibles,Oval Invincibles,bat,no,no,yes,no,0,0.5,126.16666666666667,6.166666666666667,win
loose,28.0,146,7,London Spirit,Oval Invincibles,male,2021,8,14,no,"Kennington Oval, London",London,London Spirit,Oval Invincibles,bat,yes,no,no,no,0,0.2,141.8,5.0,win
loose,29.0,135,8,Manchester Originals,Trent Rockets,male,2021,8,15,no,"Trent Bridge, Nottingham",Nottingham,Manchester Originals,Trent Rockets,bat,yes,no,no,no,0,0.4,144.8,7.0,loose
loose,29.0,122,6,Trent Rockets,Manchester Originals,female,2021,8,15,yes,"Trent Bridge, Nottingham",Nottingham,Manchester Originals,Manchester Originals,bat,no,no,yes,no,0,0.5,134.16666666666666,6.333333333333333,loose
loose,30.0,134,7,Oval Invincibles,Southern Brave,male,2021,8,16,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.6666666666666666,139.33333333333334,6.166666666666667,win
win,30.0,115,3,Southern Brave,Oval Invincibles,female,2021,8,16,yes,"The Rose Bowl, Southampton",Southampton,Oval Invincibles,Southern Brave,bat,no,no,yes,no,1,0.8571428571428571,120.14285714285714,5.571428571428571,win
win,31.0,147,4,Birmingham Phoenix,Northern Superchargers,female,2021,8,17,no,"Headingley, Leeds",Leeds,Northern Superchargers,Birmingham Phoenix,bat,no,no,yes,no,1,0.42857142857142855,129.57142857142858,7.0,win
loose,31.0,143,8,Northern Superchargers,Birmingham Phoenix,male,2021,8,17,yes,"Headingley, Leeds",Leeds,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no,0,0.5,152.5,5.666666666666667,win
loose,32.0,163,5,London Spirit,Welsh Fire,male,2021,8,18,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Welsh Fire,bat,no,no,yes,no,0,0.16666666666666666,142.5,5.333333333333333,loose
loose,32.0,95,9,Welsh Fire,London Spirit,female,2021,8,18,yes,"Sophia Gardens, Cardiff",Cardiff,London Spirit,London Spirit,bat,no,no,yes,no,0,0.2857142857142857,123.85714285714286,7.0,loose
win,40.0,114,7,Oval Invincibles,Birmingham Phoenix,female,2021,8,20,yes,"Kennington Oval, London",London,Birmingham Phoenix,Oval Invincibles,bat,no,no,yes,no,1,0.5714285714285714,119.28571428571429,6.857142857142857,loose
loose,40.0,96,10,Trent Rockets,Southern Brave,male,2021,8,20,no,"Kennington Oval, London",London,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.625,136.25,7.0,win
win,50.0,121,6,Oval Invincibles,Southern Brave,female,2021,8,21,no,"Lord's, London",London,Southern Brave,Oval Invincibles,bat,no,no,yes,no,1,0.625,118.625,6.875,win
win,50.0,168,5,Southern Brave,Birmingham Phoenix,male,2021,8,21,no,"Lord's, London",London,Birmingham Phoenix,Southern Brave,bat,no,no,yes,no,1,0.75,136.125,6.125,win
loose,1.0,107,7,Welsh Fire,Southern Brave,male,2022,8,3,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no,0,0.375,154.875,5.5,win
win,2.0,171,6,London Spirit,Oval Invincibles,male,2022,8,4,no,"Kennington Oval, London",London,Oval Invincibles,London Spirit,bat,no,no,yes,no,1,0.14285714285714285,145.42857142857142,5.285714285714286,loose
loose,3.0,161,4,Manchester Originals,Northern Superchargers,male,2022,8,5,yes,"Old Trafford, Manchester",Manchester,Northern Superchargers,Northern Superchargers,bat,no,no,yes,no,0,0.3333333333333333,143.16666666666666,7.166666666666667,loose
loose,4.0,143,7,Birmingham Phoenix,Trent Rockets,male,2022,8,6,no,"Trent Bridge, Nottingham",Nottingham,Trent Rockets,Trent Rockets,bat,no,no,yes,no,0,0.6666666666666666,151.0,5.777777777777778,loose
win,5.0,158,5,Oval Invincibles,Welsh Fire,male,2022,8,7,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Oval Invincibles,bat,no,no,yes,no,1,0.5,142.625,6.25,loose
win,6.0,160,6,London Spirit,Manchester Originals,male,2022,8,8,yes,"Lord's, London",London,London Spirit,London Spirit,bat,yes,no,no,no,1,0.25,148.625,5.375,win
loose,7.0,152,8,Northern Superchargers,Trent Rockets,male,2022,8,9,yes,"Headingley, Leeds",Leeds,Trent Rockets,Trent Rockets,bat,no,no,yes,no,0,0.5,152.375,5.75,win
