"Result","match_number","season","gender","team_code","opponent_code","winner_code","toss_winner_code","team_score","team_wickets","win_by_runs","win_by_wickets","days_from_start","choose_to_bat","home_advantage","venue_city_code","avg_win_rate","avg_score","avg_wickets_out","last_match_result"
"1",5,2021,"0",5,2,5,2,132,7,15,0,4,"0","0",2,1,139,5,"1"
"1",6,2021,"0",1,3,1,1,113,9,20,0,4,"1","0",3,0,128,6,"0"
"1",7,2021,"0",4,7,4,4,149,7,27,0,5,"1","0",7,1,131,4,"1"
"0",8,2021,"0",8,6,6,6,110,7,0,8,6,"0","1",8,0,130,8,"0"
"1",10,2021,"0",7,2,7,7,151,4,18,0,8,"1","0",2,0,116,7,"0"
"0",11,2021,"0",1,6,6,6,140,4,0,8,9,"0","0",6,0.5,120.5,7.5,"1"
"0",12,2021,"0",3,8,8,8,120,6,0,9,10,"0","0",8,0,114,7,"0"
"1",13,2021,"0",4,5,4,5,109,8,4,0,10,"0","1",4,1,140,5.5,"1"
"1",14,2021,"0",7,1,7,7,145,5,11,0,11,"1","0",1,0.333333333333333,127.666666666667,6,"1"
"0",15,2021,"0",2,6,6,6,93,10,0,7,11,"0","1",2,0.333333333333333,127.333333333333,7,"0"
"1",16,2021,"0",8,5,8,5,112,6,12,0,12,"0","0",5,0.333333333333333,121.333333333333,5.33333333333333,"1"
"0",17,2021,"0",4,2,2,4,126,5,0,7,13,"1","0",2,1,129.666666666667,6.33333333333333,"1"
"0",18,2021,"0",1,5,5,1,129,9,0,8,14,"1","1",1,0.25,128.75,7,"0"
"0",19,2021,"0",6,3,3,3,123,7,0,0,15,"0","0",3,1,120.75,3,"1"
"0",20,2021,"0",8,7,7,7,102,10,0,4,16,"0","1",8,0.5,119,5.5,"1"
"0",21,2021,"0",4,6,6,6,76,3,0,7,17,"0","0",6,0.75,128.75,6,"0"
"0",23,2021,"0",8,1,1,1,127,9,0,10,19,"0","0",1,0.4,115.6,6.4,"0"
