Result,match_number,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,team_score,team_wickets,win_by_runs,win_by_wickets,choose_to_bat,forced_to_bat,avg_win_rate,avg_score,avg_wickets_out,last_match_result
win,5,Oval Invincibles,London Spirit,female,2021,7,25,no,"Lord's, London",London,London Spirit,Oval Invincibles,132,7,15,0,no,yes,1.0,139.0,5.0,win
win,6,Birmingham Phoenix,Manchester Originals,female,2021,7,25,no,"Old Trafford, Manchester",Manchester,Birmingham Phoenix,Birmingham Phoenix,113,9,20,0,yes,no,0.0,128.0,6.0,lose
win,7,Northern Superchargers,Trent Rockets,female,2021,7,26,no,"Trent Bridge, Nottingham",Nottingham,Northern Superchargers,Northern Superchargers,149,7,27,0,yes,no,1.0,131.0,4.0,win
lose,8,Welsh Fire,Southern Brave,female,2021,7,27,yes,"Sophia Gardens, Cardiff",Cardiff,Southern Brave,Southern Brave,110,7,0,8,no,yes,0.0,130.0,8.0,lose
win,10,Trent Rockets,London Spirit,female,2021,7,29,no,"Lord's, London",London,Trent Rockets,Trent Rockets,151,4,18,0,yes,no,0.0,116.0,7.0,lose
lose,11,Birmingham Phoenix,Southern Brave,female,2021,7,30,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,140,4,0,8,no,yes,0.5,120.5,7.5,win
lose,12,Manchester Originals,Welsh Fire,female,2021,7,31,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Welsh Fire,120,6,0,9,no,yes,0.0,114.0,7.0,lose
win,13,Northern Superchargers,Oval Invincibles,female,2021,7,31,yes,"Headingley, Leeds",Leeds,Oval Invincibles,Northern Superchargers,109,8,4,0,no,yes,1.0,140.0,5.5,win
win,14,Trent Rockets,Birmingham Phoenix,female,2021,8,1,no,"Edgbaston, Birmingham",Birmingham,Trent Rockets,Trent Rockets,145,5,11,0,yes,no,0.3333333333333333,127.66666666666669,6.0,win
lose,15,London Spirit,Southern Brave,female,2021,8,1,yes,"Lord's, London",London,Southern Brave,Southern Brave,93,10,0,7,no,yes,0.3333333333333333,127.33333333333331,7.0,lose
win,16,Welsh Fire,Oval Invincibles,female,2021,8,2,no,"Kennington Oval, London",London,Oval Invincibles,Welsh Fire,112,6,12,0,no,yes,0.3333333333333333,121.33333333333331,5.333333333333333,win
lose,17,Northern Superchargers,London Spirit,female,2021,8,3,no,"Lord's, London",London,Northern Superchargers,London Spirit,126,5,0,7,yes,no,1.0,129.66666666666666,6.333333333333333,win
lose,18,Birmingham Phoenix,Oval Invincibles,female,2021,8,4,yes,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Oval Invincibles,129,9,0,8,yes,no,0.25,128.75,7.0,lose
